city,county_name,state_name,short_url,day,lat,lng,search_url
Salt Lake City,Salt Lake County,Utah,https://wilfordwoodruffpapers.org/p/wK7w,1895-03-17,40.7777,-111.9306,https://wilfordwoodruffpapers.org/places?search=Salt+Lake+City+Utah
Provo,Utah County,Utah,https://wilfordwoodruffpapers.org/p/wK7w,1895-03-17,40.2457,-111.6457,https://wilfordwoodruffpapers.org/places?search=Provo+Utah
Salt Lake City,Salt Lake County,Utah,https://wilfordwoodruffpapers.org/p/gnM6,1895-03-12,40.7777,-111.9306,https://wilfordwoodruffpapers.org/places?search=Salt+Lake+City+Utah
Provo,Utah County,Utah,https://wilfordwoodruffpapers.org/p/gnM6,1895-03-12,40.2457,-111.6457,https://wilfordwoodruffpapers.org/places?search=Provo+Utah
Salt Lake City,Salt Lake County,Utah,https://wilfordwoodruffpapers.org/p/3yVQ,1895-03-08,40.7777,-111.9306,https://wilfordwoodruffpapers.org/places?search=Salt+Lake+City+Utah
Provo,Utah County,Utah,https://wilfordwoodruffpapers.org/p/3yVQ,1895-03-08,40.2457,-111.6457,https://wilfordwoodruffpapers.org/places?search=Provo+Utah
Provo,Utah County,Utah,https://wilfordwoodruffpapers.org/p/ql6r,1897-12-04,40.2457,-111.6457,https://wilfordwoodruffpapers.org/places?search=Provo+Utah
Salt Lake City,Salt Lake County,Utah,https://wilfordwoodruffpapers.org/p/ql6r,1897-12-04,40.7777,-111.9306,https://wilfordwoodruffpapers.org/places?search=Salt+Lake+City+Utah
Oasis,Millard County,Utah,https://wilfordwoodruffpapers.org/p/rmBE,1897-11-23,39.2923,-112.629,https://wilfordwoodruffpapers.org/places?search=Oasis+Utah
Denver,Denver County,Colorado,https://wilfordwoodruffpapers.org/p/j05R,1895-02-10,39.7621,-104.8759,https://wilfordwoodruffpapers.org/places?search=Denver+Colorado
Los Angeles,Los Angeles County,California,https://wilfordwoodruffpapers.org/p/7pOj,1897-11-21,34.1139,-118.4068,https://wilfordwoodruffpapers.org/places?search=Los+Angeles+California
Deseret,Millard County,Utah,https://wilfordwoodruffpapers.org/p/7pOj,1897-11-21,39.2876,-112.6512,https://wilfordwoodruffpapers.org/places?search=Deseret+Utah
Oasis,Millard County,Utah,https://wilfordwoodruffpapers.org/p/7pOj,1897-11-21,39.2923,-112.629,https://wilfordwoodruffpapers.org/places?search=Oasis+Utah
Ogden,Weber County,Utah,https://wilfordwoodruffpapers.org/p/KLmR,1898-09-04,41.2278,-111.9682,https://wilfordwoodruffpapers.org/places?search=Ogden+Utah
Salt Lake City,Salt Lake County,Utah,https://wilfordwoodruffpapers.org/p/KLmR,1898-09-04,40.7777,-111.9306,https://wilfordwoodruffpapers.org/places?search=Salt+Lake+City+Utah
Ogden,Weber County,Utah,https://wilfordwoodruffpapers.org/p/rmXE,1895-01-21,41.2278,-111.9682,https://wilfordwoodruffpapers.org/places?search=Ogden+Utah
Richmond,Cache County,Utah,https://wilfordwoodruffpapers.org/p/rmXE,1895-01-21,41.923,-111.8075,https://wilfordwoodruffpapers.org/places?search=Richmond+Utah
San Francisco,San Francisco County,California,https://wilfordwoodruffpapers.org/p/mYGO,1898-09-02,37.7562,-122.443,https://wilfordwoodruffpapers.org/places?search=San+Francisco+California
Salt Lake City,Salt Lake County,Utah,https://wilfordwoodruffpapers.org/p/mYGO,1898-09-02,40.7777,-111.9306,https://wilfordwoodruffpapers.org/places?search=Salt+Lake+City+Utah
Los Angeles,Los Angeles County,California,https://wilfordwoodruffpapers.org/p/krD5,1897-11-09,34.1139,-118.4068,https://wilfordwoodruffpapers.org/places?search=Los+Angeles+California
Salt Lake City,Salt Lake County,Utah,https://wilfordwoodruffpapers.org/p/krD5,1897-11-09,40.7777,-111.9306,https://wilfordwoodruffpapers.org/places?search=Salt+Lake+City+Utah
Vernal,Uintah County,Utah,https://wilfordwoodruffpapers.org/p/krD5,1897-11-09,40.4517,-109.5379,https://wilfordwoodruffpapers.org/places?search=Vernal+Utah
Ogden,Weber County,Utah,https://wilfordwoodruffpapers.org/p/j0LR,1898-04-09,41.2278,-111.9682,https://wilfordwoodruffpapers.org/places?search=Ogden+Utah
Manti,Sanpete County,Utah,https://wilfordwoodruffpapers.org/p/ZzmJ,1897-11-01,39.2669,-111.6351,https://wilfordwoodruffpapers.org/places?search=Manti+Utah
Provo,Utah County,Utah,https://wilfordwoodruffpapers.org/p/ZzmJ,1897-11-01,40.2457,-111.6457,https://wilfordwoodruffpapers.org/places?search=Provo+Utah
Vernal,Uintah County,Utah,https://wilfordwoodruffpapers.org/p/ZzmJ,1897-11-01,40.4517,-109.5379,https://wilfordwoodruffpapers.org/places?search=Vernal+Utah
Price,Carbon County,Utah,https://wilfordwoodruffpapers.org/p/ZzmJ,1897-11-01,39.604,-110.8004,https://wilfordwoodruffpapers.org/places?search=Price+Utah
Provo,Utah County,Utah,https://wilfordwoodruffpapers.org/p/OP5p,1897-10-25,40.2457,-111.6457,https://wilfordwoodruffpapers.org/places?search=Provo+Utah
American Fork,Utah County,Utah,https://wilfordwoodruffpapers.org/p/OP5p,1897-10-25,40.3792,-111.7952,https://wilfordwoodruffpapers.org/places?search=American+Fork+Utah
Nephi,Juab County,Utah,https://wilfordwoodruffpapers.org/p/OP5p,1897-10-25,39.7072,-111.8323,https://wilfordwoodruffpapers.org/places?search=Nephi+Utah
Ogden,Weber County,Utah,https://wilfordwoodruffpapers.org/p/JN72,1898-08-15,41.2278,-111.9682,https://wilfordwoodruffpapers.org/places?search=Ogden+Utah
Sacramento,Sacramento County,California,https://wilfordwoodruffpapers.org/p/JN72,1898-08-15,38.5667,-121.4683,https://wilfordwoodruffpapers.org/places?search=Sacramento+California
San Francisco,San Francisco County,California,https://wilfordwoodruffpapers.org/p/JN72,1898-08-15,37.7562,-122.443,https://wilfordwoodruffpapers.org/places?search=San+Francisco+California
Oakland,Alameda County,California,https://wilfordwoodruffpapers.org/p/JN72,1898-08-15,37.7903,-122.2165,https://wilfordwoodruffpapers.org/places?search=Oakland+California
Salt Lake City,Salt Lake County,Utah,https://wilfordwoodruffpapers.org/p/GMQ7,1897-08-17,40.7777,-111.9306,https://wilfordwoodruffpapers.org/places?search=Salt+Lake+City+Utah
Salt Lake City,Salt Lake County,Utah,https://wilfordwoodruffpapers.org/p/BPRX,1897-10-14,40.7777,-111.9306,https://wilfordwoodruffpapers.org/places?search=Salt+Lake+City+Utah
Provo,Utah County,Utah,https://wilfordwoodruffpapers.org/p/rmME,1897-08-11,40.2457,-111.6457,https://wilfordwoodruffpapers.org/places?search=Provo+Utah
Alliance,Stark County,Ohio,https://wilfordwoodruffpapers.org/p/qlM2,1894-11-18,40.9107,-81.1189,https://wilfordwoodruffpapers.org/places?search=Alliance+Ohio
Provo,Utah County,Utah,https://wilfordwoodruffpapers.org/p/l2M5,1898-07-31,40.2457,-111.6457,https://wilfordwoodruffpapers.org/places?search=Provo+Utah
Salt Lake City,Salt Lake County,Utah,https://wilfordwoodruffpapers.org/p/l2M5,1898-07-31,40.7777,-111.9306,https://wilfordwoodruffpapers.org/places?search=Salt+Lake+City+Utah
Salt Lake City,Salt Lake County,Utah,https://wilfordwoodruffpapers.org/p/v8mX,1894-11-12,40.7777,-111.9306,https://wilfordwoodruffpapers.org/places?search=Salt+Lake+City+Utah
Portland,Multnomah County,Oregon,https://wilfordwoodruffpapers.org/p/rmgK,1895-06-29,45.5372,-122.65,https://wilfordwoodruffpapers.org/places?search=Portland+Oregon
Seattle,King County,Washington,https://wilfordwoodruffpapers.org/p/rmgK,1895-06-29,47.6211,-122.3244,https://wilfordwoodruffpapers.org/places?search=Seattle+Washington
Tacoma,Pierce County,Washington,https://wilfordwoodruffpapers.org/p/rmgK,1895-06-29,47.2431,-122.4531,https://wilfordwoodruffpapers.org/places?search=Tacoma+Washington
Provo,Utah County,Utah,https://wilfordwoodruffpapers.org/p/qlAG,1897-08-06,40.2457,-111.6457,https://wilfordwoodruffpapers.org/places?search=Provo+Utah
Salt Lake City,Salt Lake County,Utah,https://wilfordwoodruffpapers.org/p/qlAG,1897-08-06,40.7777,-111.9306,https://wilfordwoodruffpapers.org/places?search=Salt+Lake+City+Utah
Brigham City,Box Elder County,Utah,https://wilfordwoodruffpapers.org/p/pk9N,1895-10-31,41.5034,-112.0454,https://wilfordwoodruffpapers.org/places?search=Brigham+City+Utah
Provo,Utah County,Utah,https://wilfordwoodruffpapers.org/p/ngGE,1898-07-15,40.2457,-111.6457,https://wilfordwoodruffpapers.org/places?search=Provo+Utah
Ogden,Weber County,Utah,https://wilfordwoodruffpapers.org/p/7pDr,1895-06-26,41.2278,-111.9682,https://wilfordwoodruffpapers.org/places?search=Ogden+Utah
Logan,Cache County,Utah,https://wilfordwoodruffpapers.org/p/7pDr,1895-06-26,41.74,-111.8419,https://wilfordwoodruffpapers.org/places?search=Logan+Utah
Pocatello,Bannock County,Idaho,https://wilfordwoodruffpapers.org/p/7pDr,1895-06-26,42.8724,-112.4646,https://wilfordwoodruffpapers.org/places?search=Pocatello+Idaho
Portland,Multnomah County,Oregon,https://wilfordwoodruffpapers.org/p/7pDr,1895-06-26,45.5372,-122.65,https://wilfordwoodruffpapers.org/places?search=Portland+Oregon
Nampa,Canyon County,Idaho,https://wilfordwoodruffpapers.org/p/7pDr,1895-06-26,43.5845,-116.5631,https://wilfordwoodruffpapers.org/places?search=Nampa+Idaho
Provo,Utah County,Utah,https://wilfordwoodruffpapers.org/p/6BYl,1897-08-02,40.2457,-111.6457,https://wilfordwoodruffpapers.org/places?search=Provo+Utah
Mendon,Cache County,Utah,https://wilfordwoodruffpapers.org/p/6BYl,1897-08-02,41.7102,-111.9776,https://wilfordwoodruffpapers.org/places?search=Mendon+Utah
St. George,Washington County,Utah,https://wilfordwoodruffpapers.org/p/27GN,1897-05-25,37.077,-113.577,https://wilfordwoodruffpapers.org/places?search=St.+George+Utah
Pleasant Grove,Utah County,Utah,https://wilfordwoodruffpapers.org/p/27GN,1897-05-25,40.3716,-111.7412,https://wilfordwoodruffpapers.org/places?search=Pleasant+Grove+Utah
Ogden,Weber County,Utah,https://wilfordwoodruffpapers.org/p/ZzZR,1897-09-25,41.2278,-111.9682,https://wilfordwoodruffpapers.org/places?search=Ogden+Utah
San Francisco,San Francisco County,California,https://wilfordwoodruffpapers.org/p/ZzZR,1897-09-25,37.7562,-122.443,https://wilfordwoodruffpapers.org/places?search=San+Francisco+California
Salt Lake City,Salt Lake County,Utah,https://wilfordwoodruffpapers.org/p/ZzZR,1897-09-25,40.7777,-111.9306,https://wilfordwoodruffpapers.org/places?search=Salt+Lake+City+Utah
Huntington,Emery County,Utah,https://wilfordwoodruffpapers.org/p/ZzZR,1897-09-25,39.3301,-110.9628,https://wilfordwoodruffpapers.org/places?search=Huntington+Utah
Portland,Multnomah County,Oregon,https://wilfordwoodruffpapers.org/p/ZzZR,1897-09-25,45.5372,-122.65,https://wilfordwoodruffpapers.org/places?search=Portland+Oregon
Seattle,King County,Washington,https://wilfordwoodruffpapers.org/p/ZzZR,1897-09-25,47.6211,-122.3244,https://wilfordwoodruffpapers.org/places?search=Seattle+Washington
Tacoma,Pierce County,Washington,https://wilfordwoodruffpapers.org/p/ZzZR,1897-09-25,47.2431,-122.4531,https://wilfordwoodruffpapers.org/places?search=Tacoma+Washington
Astoria,Clatsop County,Oregon,https://wilfordwoodruffpapers.org/p/ZzZR,1897-09-25,46.1856,-123.8053,https://wilfordwoodruffpapers.org/places?search=Astoria+Oregon
San Francisco,San Francisco County,California,https://wilfordwoodruffpapers.org/p/YyVn,1898-03-07,37.7562,-122.443,https://wilfordwoodruffpapers.org/places?search=San+Francisco+California
Salt Lake City,Salt Lake County,Utah,https://wilfordwoodruffpapers.org/p/XrYA,1895-06-22,40.7777,-111.9306,https://wilfordwoodruffpapers.org/places?search=Salt+Lake+City+Utah
Provo,Utah County,Utah,https://wilfordwoodruffpapers.org/p/XrYA,1895-06-22,40.2457,-111.6457,https://wilfordwoodruffpapers.org/places?search=Provo+Utah
Smithfield,Cache County,Utah,https://wilfordwoodruffpapers.org/p/XrYA,1895-06-22,41.8347,-111.8266,https://wilfordwoodruffpapers.org/places?search=Smithfield+Utah
Salt Lake City,Salt Lake County,Utah,https://wilfordwoodruffpapers.org/p/RP8K,1897-07-28,40.7777,-111.9306,https://wilfordwoodruffpapers.org/places?search=Salt+Lake+City+Utah
Provo,Utah County,Utah,https://wilfordwoodruffpapers.org/p/Q6AL,1898-06-24,40.2457,-111.6457,https://wilfordwoodruffpapers.org/places?search=Provo+Utah
Salt Lake City,Salt Lake County,Utah,https://wilfordwoodruffpapers.org/p/Q6AL,1898-06-24,40.7777,-111.9306,https://wilfordwoodruffpapers.org/places?search=Salt+Lake+City+Utah
West Jordan,Salt Lake County,Utah,https://wilfordwoodruffpapers.org/p/Pz6W,1897-05-21,40.6024,-112.0008,https://wilfordwoodruffpapers.org/places?search=West+Jordan+Utah
Provo,Utah County,Utah,https://wilfordwoodruffpapers.org/p/OPJL,1894-10-25,40.2457,-111.6457,https://wilfordwoodruffpapers.org/places?search=Provo+Utah
Mona,Juab County,Utah,https://wilfordwoodruffpapers.org/p/OPJL,1894-10-25,39.8122,-111.8502,https://wilfordwoodruffpapers.org/places?search=Mona+Utah
San Francisco,San Francisco County,California,https://wilfordwoodruffpapers.org/p/NY7p,1897-09-21,37.7562,-122.443,https://wilfordwoodruffpapers.org/places?search=San+Francisco+California
Oakland,Alameda County,California,https://wilfordwoodruffpapers.org/p/NY7p,1897-09-21,37.7903,-122.2165,https://wilfordwoodruffpapers.org/places?search=Oakland+California
Portland,Multnomah County,Oregon,https://wilfordwoodruffpapers.org/p/NY7p,1897-09-21,45.5372,-122.65,https://wilfordwoodruffpapers.org/places?search=Portland+Oregon
St. George,Washington County,Utah,https://wilfordwoodruffpapers.org/p/y9pP,1895-06-08,37.077,-113.577,https://wilfordwoodruffpapers.org/places?search=St.+George+Utah
Sacramento,Sacramento County,California,https://wilfordwoodruffpapers.org/p/wKEM,1897-09-18,38.5667,-121.4683,https://wilfordwoodruffpapers.org/places?search=Sacramento+California
San Francisco,San Francisco County,California,https://wilfordwoodruffpapers.org/p/wKEM,1897-09-18,37.7562,-122.443,https://wilfordwoodruffpapers.org/places?search=San+Francisco+California
Oakland,Alameda County,California,https://wilfordwoodruffpapers.org/p/wKEM,1897-09-18,37.7903,-122.2165,https://wilfordwoodruffpapers.org/places?search=Oakland+California
